,interactor1,interactor2
161,NP_461430.1,NP_462296.1
162,NP_460397.1,NP_461156.1
163,NP_461763.1,NP_461779.3
164,NP_459251.1,NP_462703.1
165,NP_459251.1,NP_462543.1
166,NP_459251.1,NP_461744.1
167,NP_459251.1,NP_459588.1
168,NP_459251.1,NP_459590.1
169,NP_459251.1,NP_461417.1
170,NP_459251.1,NP_461763.1
171,NP_459251.1,NP_459513.1
172,NP_459251.1,NP_462170.1
173,NP_459251.1,NP_461042.1
174,NP_459251.1,NP_462812.1
175,NP_459251.1,NP_460323.3
176,NP_459251.1,NP_463210.1
177,NP_459251.1,NP_461022.1
178,NP_459251.1,NP_460338.1
179,NP_459251.1,NP_460337.1
180,NP_459251.1,NP_459595.1
181,NP_459757.1,NP_462800.1
182,NP_461189.1,NP_461415.1
183,NP_462385.1,NP_462454.1
184,NP_462996.1,NP_462997.1
185,NP_460951.1,NP_463059.1
186,NP_461156.1,NP_462400.1
187,NP_459589.1,NP_461156.1
188,NP_461265.3,NP_463223.1
189,NP_461265.3,NP_461268.1
190,NP_462528.1,NP_463010.1
191,NP_460547.1,NP_462489.1
192,NP_461251.1,NP_462513.1
193,NP_460034.1,NP_461869.1
194,NP_460875.1,NP_463197.1
195,NP_461718.1,NP_463359.1
196,NP_461931.1,NP_463409.1
197,NP_460917.1,NP_463409.1
198,NP_461022.1,NP_463409.1
199,NP_462626.1,NP_463421.1
200,NP_460769.1,NP_463421.1
201,NP_461497.1,NP_463421.1
202,NP_460770.1,NP_463421.1
203,NP_463010.1,NP_463421.1
204,NP_462974.1,NP_463421.1
205,NP_460756.1,NP_463421.1
206,NP_462724.1,NP_462726.1
207,NP_460575.1,NP_461752.1
208,NP_460538.1,NP_462133.1
209,NP_460951.1,NP_462134.1
210,NP_459940.1,NP_462137.1
211,NP_460458.1,NP_462137.1
212,NP_460459.1,NP_462137.1
213,NP_462150.1,NP_463277.1
214,NP_462149.1,NP_462150.1
215,NP_459762.1,NP_460782.1
216,NP_459762.1,NP_461891.2
217,NP_459762.1,NP_462154.1
218,NP_460782.1,NP_461334.1
219,NP_461334.1,NP_461891.2
220,NP_461334.1,NP_462154.1
221,NP_460142.1,NP_460154.1
222,NP_459954.1,NP_461779.3
223,NP_461779.3,NP_461993.1
224,NP_460802.1,NP_461310.1
225,NP_460802.1,NP_463011.1
226,NP_460802.1,NP_462803.1
227,NP_460802.1,NP_463343.1
228,NP_460802.1,NP_462400.1
229,NP_460802.1,NP_461375.1
230,NP_460802.1,NP_462311.1
231,NP_460802.1,NP_461417.1
232,NP_460802.1,NP_462847.1
233,NP_460884.1,NP_461763.1
234,NP_459784.1,NP_460884.1
235,NP_460926.1,NP_462418.1
236,NP_460908.1,NP_461779.3
237,NP_459638.1,NP_461764.1
238,NP_459638.1,NP_462566.1
239,NP_459120.1,NP_461076.1
240,NP_459663.1,NP_462147.1
241,NP_459663.1,NP_461022.1
242,NP_459698.1,NP_461375.1
243,NP_460033.1,NP_461293.1
244,NP_459589.1,NP_460033.1
245,NP_460033.1,NP_461763.1
246,NP_460033.1,NP_463210.1
247,NP_460176.1,NP_460189.1
248,NP_460702.1,NP_461163.1
249,NP_460097.1,NP_462959.1
250,NP_461183.1,NP_462002.1
251,NP_459581.1,NP_460438.1
252,NP_460805.1,NP_461859.1
253,NP_459695.1,NP_461586.1
254,NP_461495.1,NP_461586.1
255,NP_461323.1,NP_462528.1
256,NP_459663.1,NP_461323.1
257,NP_459651.1,NP_462997.1
258,NP_459588.1,NP_460319.1
259,NP_459717.1,NP_460319.1
260,NP_460319.1,NP_460320.1
261,NP_459553.1,NP_461314.1
262,NP_460336.1,NP_460337.1
263,NP_460701.1,NP_461375.1
264,NP_461347.1,NP_462087.1
265,NP_460189.1,NP_462078.1
266,NP_459476.1,NP_462111.3
267,NP_461859.1,NP_462781.1
268,NP_461859.1,NP_462897.1
269,NP_461859.1,NP_462898.1
270,NP_461859.1,NP_462137.1
271,NP_460273.1,NP_461859.1
272,NP_460338.1,NP_461859.1
273,NP_459638.1,NP_462420.1
274,NP_462419.1,NP_462420.1
275,NP_459251.1,NP_462307.1
276,NP_460770.1,NP_462307.1
277,NP_460884.1,NP_462307.1
278,NP_460033.1,NP_462307.1
279,NP_462296.1,NP_462307.1
280,NP_459638.1,NP_459851.1
281,NP_460770.1,NP_463421.1
282,NP_459476.1,NP_461234.1
283,NP_460049.1,NP_462825.1
284,NP_462400.1,NP_462418.1
285,NP_460431.1,NP_463111.1
286,NP_460431.1,NP_463111.1
287,NP_460431.1,NP_463111.1
288,NP_461006.1,NP_461214.1
289,NP_461473.1,NP_461474.1
290,NP_461474.1,NP_461475.1
291,NP_459921.1,NP_459922.1
292,NP_460685.1,NP_460686.1
293,NP_460682.1,NP_460683.1
294,NP_459783.3,NP_459822.1
295,NP_463319.1,NP_463320.1
296,NP_462761.1,NP_462806.1
297,NP_461134.1,NP_462806.1
298,NP_462212.1,NP_462806.1
299,NP_460837.1,NP_462806.1
300,NP_459410.1,NP_462806.1
301,NP_460262.1,NP_462806.1
302,NP_459430.3,NP_462806.1
303,NP_459628.1,NP_462806.1
304,NP_462205.1,NP_462806.1
305,NP_460801.1,NP_462806.1
306,NP_459444.1,NP_462806.1
307,NP_462641.1,NP_462806.1
308,NP_462350.1,NP_462806.1
309,NP_459222.1,NP_462806.1
310,NP_462806.1,NP_463198.1
311,NP_459447.1,NP_462806.1
312,NP_462806.1,NP_463039.1
313,NP_461750.1,NP_462806.1
314,NP_462806.1,NP_462855.1
315,NP_462806.1,NP_463005.1
316,NP_459223.1,NP_462806.1
317,NP_462806.1,NP_462853.1
318,NP_460709.1,NP_462806.1
319,NP_462806.1,NP_463094.3
320,NP_461461.1,NP_462806.1
321,NP_460165.1,NP_462806.1
322,NP_459232.1,NP_462806.1
323,NP_462806.1,NP_462868.1
324,NP_460659.1,NP_462806.1
325,NP_461219.1,NP_462806.1
326,NP_462806.1,NP_463313.1
327,NP_459218.1,NP_462806.1
328,NP_461607.1,NP_462806.1
329,NP_462783.1,NP_462806.1
330,NP_460041.1,NP_462806.1
331,NP_459670.1,NP_462806.1
332,NP_461368.1,NP_462806.1
333,NP_459621.1,NP_462806.1
334,NP_459920.1,NP_462806.1
335,NP_460213.1,NP_462806.1
336,NP_460793.1,NP_462806.1
337,NP_460947.1,NP_462806.1
338,NP_462550.1,NP_462806.1
339,NP_447555.1,NP_462806.1
340,NP_461212.1,NP_462806.1
341,NP_462806.1,NP_463017.1
342,NP_462405.1,NP_462806.1
343,NP_459678.1,NP_462806.1
344,NP_460640.1,NP_462806.1
345,NP_462806.1,NP_462936.1
346,NP_462806.1,NP_462972.1
347,NP_462806.1,NP_463258.3
348,NP_462359.1,NP_462806.1
349,NP_459482.3,NP_462806.1
350,NP_462806.1,NP_463193.1
351,NP_459723.1,NP_462806.1
352,NP_459724.1,NP_462806.1
353,NP_460208.1,NP_462806.1
354,NP_459163.1,NP_462806.1
355,NP_459012.1,NP_462806.1
356,NP_461408.1,NP_462806.1
357,NP_462806.1,NP_462962.1
358,NP_460845.1,NP_462806.1
359,NP_460256.1,NP_462806.1
360,NP_461873.1,NP_462806.1
361,NP_462764.1,NP_462806.1
362,NP_462766.1,NP_462806.1
363,NP_460529.1,NP_462806.1
364,NP_462806.1,NP_462917.1
365,NP_459191.1,NP_462806.1
366,NP_462284.1,NP_462806.1
367,NP_459138.1,NP_462806.1
368,NP_461984.1,NP_462806.1
369,NP_461746.1,NP_462806.1
370,NP_462806.1,NP_463389.1
371,NP_462229.1,NP_462806.1
372,NP_459317.1,NP_462806.1
373,NP_459974.1,NP_462806.1
374,NP_460434.1,NP_462806.1
375,NP_460490.1,NP_462806.1
376,NP_460531.1,NP_462806.1
377,NP_460946.1,NP_462806.1
378,NP_461210.1,NP_462806.1
379,NP_460426.1,NP_462806.1
380,NP_460782.1,NP_462806.1
381,NP_461141.1,NP_462806.1
382,NP_461891.2,NP_462806.1
383,NP_462154.1,NP_462806.1
384,NP_459719.1,NP_462806.1
385,NP_460044.1,NP_462806.1
386,NP_459317.1,NP_462806.1
387,NP_459974.1,NP_462806.1
388,NP_460434.1,NP_462806.1
389,NP_460490.1,NP_462806.1
390,NP_460531.1,NP_462806.1
391,NP_460946.1,NP_462806.1
392,NP_461210.1,NP_462806.1
393,NP_462806.1,NP_463096.1
394,NP_462806.1,NP_462987.1
395,NP_461477.1,NP_461478.1
396,NP_461477.1,NP_461478.1
397,NP_459458.1,NP_461496.1
398,NP_459219.1,NP_459458.1
399,NP_459219.1,NP_461496.1
400,NP_459458.1,NP_462116.1
401,NP_461496.1,NP_462116.1
402,NP_459219.1,NP_459458.1
403,NP_459219.1,NP_461496.1
404,NP_459458.1,NP_462886.1
405,NP_461496.1,NP_462886.1
406,NP_459458.1,NP_462886.1
407,NP_461496.1,NP_462886.1
408,NP_459141.1,NP_462324.1
409,NP_462836.1,NP_463220.1
410,NP_462836.1,NP_463220.1
411,NP_461922.1,NP_463220.1
412,NP_461922.1,NP_463220.1
413,NP_460942.1,NP_463220.1
414,NP_460942.1,NP_463220.1
415,NP_461922.1,NP_463220.1
416,NP_461473.1,NP_461476.1
417,NP_461473.1,NP_461476.1
418,NP_461193.1,NP_461195.1
419,NP_461195.1,NP_462715.1
420,NP_461193.1,NP_462717.1
421,NP_462715.1,NP_462717.1
422,NP_459017.1,NP_460156.1
423,NP_460156.1,NP_462805.1
424,NP_460156.1,NP_462805.1
425,NP_459017.1,NP_460156.1
426,NP_460156.1,NP_461409.1
427,NP_460156.1,NP_461992.1
428,NP_460156.1,NP_462195.1
429,NP_459017.1,NP_460156.1
430,NP_460156.1,NP_462628.1
431,NP_460156.1,NP_462528.1
432,NP_460156.1,NP_462193.3
433,NP_459473.1,NP_460156.1
434,NP_460156.1,NP_461873.1
435,NP_460156.1,NP_462341.1
436,NP_460156.1,NP_463019.1
437,NP_459541.1,NP_460156.1
438,NP_460156.1,NP_462805.1
439,NP_460135.1,NP_460156.1
440,NP_460156.1,NP_462508.1
441,NP_460156.1,NP_462325.1
442,NP_460156.1,NP_463255.1
443,NP_460186.1,NP_463022.1
444,NP_462060.1,NP_462065.1
445,NP_461776.1,NP_462359.1
446,NP_461777.1,NP_461779.3
447,NP_461779.3,NP_462058.1
448,NP_460743.1,NP_461777.1
449,NP_460498.1,NP_462058.1
450,NP_460743.1,NP_462058.1
451,NP_461777.1,NP_461778.2
452,NP_461778.2,NP_462058.1
453,NP_461777.1,NP_462062.1
454,NP_462058.1,NP_462062.1
455,NP_461778.2,NP_461779.3
456,NP_461778.2,NP_462062.1
457,NP_461777.1,NP_461778.2
458,NP_461778.2,NP_462058.1
459,NP_461770.1,NP_461777.1
460,NP_461777.1,NP_461779.3
461,NP_461779.3,NP_462058.1
462,NP_461770.1,NP_461777.1
463,NP_461770.1,NP_462058.1
464,NP_459729.1,NP_460166.1
465,NP_459141.1,NP_460166.1
466,NP_460166.1,NP_461478.1
467,NP_460166.1,NP_461320.1
468,NP_460166.1,NP_462642.1
469,NP_459969.1,NP_460166.1
470,NP_460166.1,NP_460167.1
471,NP_459729.1,NP_460166.1
472,NP_460166.1,NP_463100.1
473,NP_459141.1,NP_459729.1
474,NP_459729.1,NP_463100.1
475,NP_459729.1,NP_460162.1
476,NP_460166.1,NP_463100.1
477,NP_459729.1,NP_463100.1
478,NP_459471.1,NP_462101.3
479,NP_462101.3,NP_462300.1
480,NP_459141.1,NP_463190.1
481,NP_459017.1,NP_463190.1
482,NP_459921.1,NP_460739.3
483,NP_460739.3,NP_462349.1
484,NP_460739.3,NP_463015.1
485,NP_459221.1,NP_460739.3
486,NP_461454.1,NP_462338.1
487,NP_459221.1,NP_461454.1
488,NP_461454.1,NP_462334.1
489,NP_461454.1,NP_462343.1
490,NP_461454.1,NP_462341.1
491,NP_461280.1,NP_462349.1
492,NP_461280.1,NP_463015.1
493,NP_459018.1,NP_461280.1
494,NP_460858.1,NP_461414.1
495,NP_460858.1,NP_462241.1
496,NP_459975.1,NP_460858.1
497,NP_460678.1,NP_462195.1
498,NP_460678.1,NP_462497.1
499,NP_460678.1,NP_462117.1
500,NP_460035.1,NP_460678.1
501,NP_459795.1,NP_460678.1
502,NP_460678.1,NP_463229.1
503,NP_460678.1,NP_461578.1
504,NP_460678.1,NP_462322.1
505,NP_460678.1,NP_462345.1
506,NP_460678.1,NP_462351.1
507,NP_460678.1,NP_462327.1
508,NP_460678.1,NP_462320.1
509,NP_460678.1,NP_462338.1
510,NP_459221.1,NP_460678.1
511,NP_459956.1,NP_460678.1
512,NP_460678.1,NP_462255.1
513,NP_460678.1,NP_463255.1
514,NP_460678.1,NP_462329.1
515,NP_460678.1,NP_462332.1
516,NP_460678.1,NP_462343.1
517,NP_460678.1,NP_462344.1
518,NP_460678.1,NP_462341.1
519,NP_460678.1,NP_463019.1
520,NP_460678.1,NP_461587.1
521,NP_460600.3,NP_460678.1
522,NP_460678.1,NP_463238.3
523,NP_459157.1,NP_460678.1
524,NP_459536.1,NP_463229.1
525,NP_459536.1,NP_463238.3
526,NP_459159.1,NP_459536.1
527,NP_459018.1,NP_459536.1
528,NP_459536.1,NP_462193.3
529,NP_459158.2,NP_459536.1
530,NP_459536.1,NP_462497.1
531,NP_459536.1,NP_462117.1
532,NP_459536.1,NP_461583.1
533,NP_459536.1,NP_460678.1
534,NP_459536.1,NP_460157.1
535,NP_459536.1,NP_460035.1
536,NP_459430.3,NP_459536.1
537,NP_459536.1,NP_461578.1
538,NP_459536.1,NP_462338.1
539,NP_459221.1,NP_459536.1
540,NP_459536.1,NP_459956.1
541,NP_459536.1,NP_463023.1
542,NP_459536.1,NP_462319.1
543,NP_459536.1,NP_463255.1
544,NP_459536.1,NP_462344.1
545,NP_459536.1,NP_463019.1
546,NP_459536.1,NP_462805.1
547,NP_459536.1,NP_461587.1
548,NP_459536.1,NP_462195.1
549,NP_462349.1,NP_463420.1
550,NP_463015.1,NP_463420.1
551,NP_460046.1,NP_460191.1
552,NP_461380.1,NP_462943.1
553,NP_462764.1,NP_462766.1
554,NP_462764.1,NP_462765.1
555,NP_462763.1,NP_462765.1
556,NP_462765.1,NP_462766.1
557,NP_459221.1,NP_462761.1
558,NP_462349.1,NP_462753.1
559,NP_462753.1,NP_463015.1
560,NP_460536.1,NP_462753.1
561,NP_460720.1,NP_462753.1
562,NP_462284.1,NP_462753.1
563,NP_462753.1,NP_463194.1
564,NP_462166.1,NP_462753.1
565,NP_459606.1,NP_459950.1
566,NP_459606.1,NP_462349.1
567,NP_459606.1,NP_463015.1
568,NP_459141.1,NP_459606.1
569,NP_459606.1,NP_462610.1
570,NP_459606.1,NP_463194.1
571,NP_459017.1,NP_459606.1
572,NP_459018.1,NP_459606.1
573,NP_462239.1,NP_462275.1
574,NP_459317.1,NP_462239.1
575,NP_459974.1,NP_462239.1
576,NP_460434.1,NP_462239.1
577,NP_460490.1,NP_462239.1
578,NP_460531.1,NP_462239.1
579,NP_460946.1,NP_462239.1
580,NP_461210.1,NP_462239.1
581,NP_461207.1,NP_462239.1
582,NP_459141.1,NP_461474.1
583,NP_461474.1,NP_463020.1
584,NP_461474.1,NP_461477.1
585,NP_460166.1,NP_462418.1
586,NP_459231.1,NP_460166.1
587,NP_459159.1,NP_460166.1
588,NP_460166.1,NP_462761.1
589,NP_459232.1,NP_460166.1
590,NP_460163.1,NP_460166.1
591,NP_460165.1,NP_460166.1
592,NP_460166.1,NP_460167.1
593,NP_460166.1,NP_461320.1
594,NP_460057.1,NP_460166.1
595,NP_460166.1,NP_463238.3
596,NP_460166.1,NP_461512.1
597,NP_459158.2,NP_460166.1
598,NP_459157.1,NP_460166.1
599,NP_460166.1,NP_461927.1
600,NP_460166.1,NP_462909.1
601,NP_459697.1,NP_460166.1
602,NP_459729.1,NP_460166.1
603,NP_460166.1,NP_462642.1
604,NP_459141.1,NP_460166.1
605,NP_460166.1,NP_462351.1
606,NP_459050.1,NP_460166.1
607,NP_460166.1,NP_463100.1
608,NP_459969.1,NP_460166.1
609,NP_460288.1,NP_463330.1
610,NP_459159.1,NP_463330.1
611,NP_459158.2,NP_463330.1
612,NP_459239.1,NP_461494.1
613,NP_459239.1,NP_461494.1
614,NP_459662.1,NP_462349.1
615,NP_459662.1,NP_463015.1
616,NP_459662.1,NP_462753.1
617,NP_459662.1,NP_462284.1
618,NP_459018.1,NP_459662.1
619,NP_460101.1,NP_463012.1
620,NP_462247.1,NP_463012.1
621,NP_459251.1,NP_462349.1
622,NP_459251.1,NP_463015.1
623,NP_460777.1,NP_462349.1
624,NP_460777.1,NP_463015.1
625,NP_459157.1,NP_460777.1
626,NP_459159.1,NP_460873.1
627,NP_459158.2,NP_460873.1
628,NP_459157.1,NP_460873.1
629,NP_462233.1,NP_463008.1
630,NP_459157.1,NP_463008.1
631,NP_459143.1,NP_462735.1
632,NP_459143.1,NP_461214.1
633,NP_459165.1,NP_462322.1
634,NP_459165.1,NP_462320.1
635,NP_459165.1,NP_459221.1
636,NP_459165.1,NP_462641.1
637,NP_459165.1,NP_463023.1
638,NP_459165.1,NP_463022.1
639,NP_459165.1,NP_462319.1
640,NP_459165.1,NP_462325.1
641,NP_459165.1,NP_462255.1
642,NP_459165.1,NP_462343.1
643,NP_459165.1,NP_462344.1
644,NP_459165.1,NP_462341.1
645,NP_459165.1,NP_463017.1
646,NP_459165.1,NP_462200.1
647,NP_459101.1,NP_459165.1
648,NP_461845.1,NP_462349.1
649,NP_461845.1,NP_463015.1
650,NP_459221.1,NP_461845.1
651,NP_461845.1,NP_463023.1
652,NP_461845.1,NP_463022.1
653,NP_461845.1,NP_462319.1
654,NP_461845.1,NP_463019.1
655,NP_460786.1,NP_461845.1
656,NP_461211.1,NP_461212.1
657,NP_461212.1,NP_462349.1
658,NP_461212.1,NP_463015.1
659,NP_461212.1,NP_462124.1
660,NP_461212.1,NP_462345.1
661,NP_461212.1,NP_462320.1
662,NP_461212.1,NP_462338.1
663,NP_461212.1,NP_462255.1
664,NP_461212.1,NP_462344.1
665,NP_459458.1,NP_461212.1
666,NP_461212.1,NP_461496.1
667,NP_459017.1,NP_461212.1
668,NP_459101.1,NP_462641.1
669,NP_459443.1,NP_462641.1
670,NP_462641.1,NP_462642.1
671,NP_462322.1,NP_462641.1
672,NP_462345.1,NP_462641.1
673,NP_462351.1,NP_462641.1
674,NP_459221.1,NP_462641.1
675,NP_462126.3,NP_462641.1
676,NP_462641.1,NP_463023.1
677,NP_462641.1,NP_463022.1
678,NP_459017.1,NP_462641.1
679,NP_460285.1,NP_462641.1
680,NP_462319.1,NP_462641.1
681,NP_462341.1,NP_462641.1
682,NP_462641.1,NP_463017.1
683,NP_462200.1,NP_462641.1
684,NP_459917.1,NP_460678.1
685,NP_459917.1,NP_463229.1
686,NP_459917.1,NP_462349.1
687,NP_459917.1,NP_463015.1
688,NP_459917.1,NP_461578.1
689,NP_459917.1,NP_462351.1
690,NP_459917.1,NP_462320.1
691,NP_459917.1,NP_462338.1
692,NP_459221.1,NP_459917.1
693,NP_459917.1,NP_459956.1
694,NP_459917.1,NP_463023.1
695,NP_459917.1,NP_462339.1
696,NP_459917.1,NP_462255.1
697,NP_459917.1,NP_462329.1
698,NP_459917.1,NP_462332.1
699,NP_459917.1,NP_462343.1
700,NP_459917.1,NP_462344.1
701,NP_459917.1,NP_462341.1
702,NP_459917.1,NP_463019.1
703,NP_459917.1,NP_462610.1
704,NP_459917.1,NP_461587.1
705,NP_459159.1,NP_459917.1
706,NP_462322.1,NP_463023.1
707,NP_462351.1,NP_463023.1
708,NP_462327.1,NP_463023.1
709,NP_462320.1,NP_463023.1
710,NP_462126.3,NP_463023.1
711,NP_463022.1,NP_463023.1
712,NP_462319.1,NP_463023.1
713,NP_462318.1,NP_463023.1
714,NP_462325.1,NP_463023.1
715,NP_462255.1,NP_463023.1
716,NP_462343.1,NP_463023.1
717,NP_462344.1,NP_463023.1
718,NP_462341.1,NP_463023.1
719,NP_463017.1,NP_463023.1
720,NP_462200.1,NP_463023.1
721,NP_462417.1,NP_463023.1
722,NP_459101.1,NP_463023.1
723,NP_462406.1,NP_463023.1
724,NP_459795.1,NP_463022.1
725,NP_459361.1,NP_463022.1
726,NP_462349.1,NP_463022.1
727,NP_463015.1,NP_463022.1
728,NP_459141.1,NP_463022.1
729,NP_462345.1,NP_463022.1
730,NP_462338.1,NP_463022.1
731,NP_462230.1,NP_463022.1
732,NP_462469.1,NP_463022.1
733,NP_462126.3,NP_463022.1
734,NP_462319.1,NP_463022.1
735,NP_462341.1,NP_463022.1
736,NP_462807.1,NP_463022.1
737,NP_463017.1,NP_463022.1
738,NP_462200.1,NP_463022.1
739,NP_459447.1,NP_463022.1
740,NP_463022.1,NP_463039.1
741,NP_459101.1,NP_463022.1
742,NP_460672.1,NP_463022.1
743,NP_459922.1,NP_463022.1
744,NP_462119.1,NP_463022.1
745,NP_462764.1,NP_463022.1
746,NP_462319.1,NP_462341.1
747,NP_462319.1,NP_462322.1
748,NP_462319.1,NP_462345.1
749,NP_462319.1,NP_462351.1
750,NP_462319.1,NP_462327.1
751,NP_462319.1,NP_462320.1
752,NP_462319.1,NP_462338.1
753,NP_459221.1,NP_462319.1
754,NP_459956.1,NP_462319.1
755,NP_462126.3,NP_462319.1
756,NP_462319.1,NP_462325.1
757,NP_462255.1,NP_462319.1
758,NP_462319.1,NP_462332.1
759,NP_462319.1,NP_462343.1
760,NP_462319.1,NP_462344.1
761,NP_462319.1,NP_463019.1
762,NP_462319.1,NP_462807.1
763,NP_461587.1,NP_462319.1
764,NP_462319.1,NP_463017.1
765,NP_462200.1,NP_462319.1
766,NP_462284.1,NP_462319.1
767,NP_459101.1,NP_462319.1
768,NP_462319.1,NP_462406.1
769,NP_460858.1,NP_462319.1
770,NP_459158.2,NP_462319.1
771,NP_459157.1,NP_462319.1
772,NP_462343.1,NP_462625.1
773,NP_462320.1,NP_462469.1
774,NP_462469.1,NP_463023.1
775,NP_462319.1,NP_462469.1
